size;insert;comb;count
752000;0;222;7
753000;0;223;7
754000;0;223;7
755000;0;227;7
756000;0;229;7
757000;0;225;7
758000;0;236;11
759000;0;228;7
760000;0;226;7
761000;0;228;7
762000;0;227;7
763000;0;229;7
764000;0;227;7
765000;0;228;7
766000;0;230;7
767000;0;228;7
768000;0;228;7
769000;0;229;7
770000;0;230;7
771000;0;240;7
772000;0;231;7
773000;0;231;7
774000;0;238;7
775000;0;233;7
776000;0;231;7
777000;0;232;7
778000;0;232;7
779000;0;232;7
780000;0;232;7
781000;0;232;7
782000;0;234;7
783000;0;234;7
784000;0;235;7
785000;0;252;7
786000;0;235;7
787000;0;236;7
788000;0;234;6
789000;0;246;7
790000;0;237;8
791000;0;237;7
792000;0;235;7
793000;0;238;7
794000;0;238;7
795000;0;238;7
796000;0;248;12
797000;0;240;8
798000;0;239;7
